,ligand	C[C@@H]1C[C@@H](CC[N@H+]1Cc2cccc(c2)Cl)Nc3c4cc[nH]c4ncc3C(=O)NC	50	P10000034
34,Cc1ccc2c(c1)[nH]c([nH+]2)CSc3nnc(n3N)c4ccccc4Br	C59264805	P90027704
35,COc1cccc(c1)[C@@H]2C[C@@H](n3c([nH+]c(n3)N)N2)c4cccc(c4)Br	C13132215	P96602011
36,c1ccc2=[NH+][C@@H](C(=c2c1)CCC(=O)Nc3ccc(cc3)S(=O)(=O)N)c4ccc(cc4)F	C63135298	P96947209
37,c1ccc2=[NH+][C@H]3CN(CCC3=c2c1)C(=O)NCCCC(=O)Nc4ccc(cc4)O	C63314924	P97240373
38,CCOc1ccc(cc1CO)[C@@H]2[C@@H]3C[NH+](C[C@@H]3[C@@](N2)(CO)c4ccccc4)C	C65455291	P100653683
39,Cc1cc(n[nH]1)C[NH+]2CN[C@H]([C@@H]2c3ccc(cc3)C#CCCO)c4ccccc4	C65508503	P100750317
40,Cn1c2ccccc2[nH+]c1[C@H](c3ccccc3)NC(=O)c4ccc(s4)C(=O)N	C65595853	P100909244
41,C[C@H]1C[C@@H](C[NH+](C1)C(C)(C)CNC(=O)Nc2cc(c[nH]c2=O)C(F)(F)F)C	C66402105	P102104849
42,C[NH+](C)[C@H](CNC(=O)NC[C@@H](c1ccc2ccccc2c1)O)c3cccs3	C67580607	P103774164
43,Cc1cc(nc([nH+]1)SCc2[nH]c(=O)c3c(csc3n2)c4ccccc4Cl)N	C31745729	P111470795
44,CCc1ccc2cc(c(=O)[nH]c2c1)CNc3ccc(cc3)[NH+]4CCC[C@H](C4)O	C72396154	P112587953
45,c1cc(c(cc1Br)Br)OCc2c(snn2)N[NH3+]	C84409299	P132094761
46,c1cc2c(cc1F)Sc3ccc(cc3C[C@@H]2[NH+]4CCN(CC4)CC/C(=N\O)/N)Cl	C96336726	P151996446
47,c1c(c(cc(c1F)I)[N+](=O)[O-])N[C@@H]2CCC[C@@H]2C[NH3+]	C97400942	P154261754
48,c1c(c(cc(c1F)I)[N+](=O)[O-])N[C@@H]2CCCC[C@H]2C[NH3+]	C97400949	P154261777
49,COc1cc(cc(c1OC)OC)Nc2ccc(cc2I)[NH3+]	C97410974	P154287906
