,ligand	Cc1cc(cnc1C(=O)NC)Nc2nccc(n2)N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]5CC5(F)F	38	P10000018
17,Cc1ccc(c(c1)NC(=O)[C@@H]2CCCN(C2)S(=O)(=O)c3ccc4c(c3)oc(=O)[nH]4)OC	C20994333	P31356640
18,Cc1ccc(c(c1)NC(=O)CN2C(=O)[C@@](NC2=O)(C)c3ccc4c(c3)OCCCO4)OC	C22428591	P33328570
19,CC[C@@]1(C(=O)N(C(=O)N1)NC(=O)C(=O)c2c(nn(c2C)c3ccccc3)C)c4ccccc4	C24642322	P36489593
20,CCC(=O)N1[C@@H](C/C(=C/2\C(=O)NC(=O)N(C2=O)c3ccc(cc3)Cl)/N1)c4ccccc4OC	C26599797	P39246200
21,c1ccc2c(c1)c(cc(=O)[nH]2)C(=O)NN3C(=O)/C(=C\c4cccc(c4)[N+](=O)[O-])/SC3=S	C28629052	P42135533
22,Cc1ccc(c(c1)NC(=O)[C@H]2CCCN(C2)S(=O)(=O)c3ccc4c(c3)NC(=O)CO4)OC	C33021339	P48874831
23,CCOc1cc(ccc1O)/C=C/2\C(=O)N(C(=S)S2)NC(=O)c3cccc(c3)[N+](=O)[O-]	C33347612	P49358924
24,Cc1cccn2c1nc(c2C)C(=O)C3=C(C(=O)N([C@H]3c4ccc(c(c4)OC)O)Cc5ccco5)O	C35484646	P52668506
25,CCOC(=O)[C@@H]1C(=c2cc(ccc2=[NH+]1)OC)/N=N/[NH+]3C[C@H]4C[C@@H](C3)c5cccc(=O)n5C4	C38558102	P58364969
26,Cc1c(n(c(c1C#N)NC(=O)CN2CCC[C@@H](C2)C(=O)Nc3nncs3)C4CCCC4)C	C40151466	P60943813
27,COc1cc(ccc1OCC#N)C2=C([C@]3(c4ccccc4NC3=O)ON2)C(=O)c5ccco5	C43732489	P66102860
28,Cc1c(c(c(s1)c2c3c([nH]c2c4cccc(c4)OC)n(c(=O)n(c3=O)C)C)O)C(=O)OC	C46009369	P69274004
29,Cc1cc(nc(n1)Nc2nc(cs2)CC(=O)Nc3nc4ccc(cc4s3)S(=O)(=O)C)C	C49450746	P73833118
30,COc1ccc(cc1)[C@@H]2CC3=C([C@H](n4c(ncn4)N3)c5cc(c(c(c5)OC)O)OC)C(=O)C2	C09488020	P75838092
31,CCOc1cc(cc(c1OS(=O)(=O)c2ccc(cc2)C)Cl)C=C3C(=O)NC(=O)NC3=O	C59536325	P90657820
32,c1cc(ccc1C2=NO[C@@H](N2)CCn3c(=O)c4cc5c(cc4[nH]c3=O)OCO5)C(F)(F)F	C63570094	P97621626
33,CSc1ccc(cc1)C2=NO[C@@H](N2)CCCn3c(=O)c4cc5c(cc4[nH]c3=O)OCO5	C63570106	P97621638
34,CC1=C2[C@@H](SCC(=O)N[C@@H]2N(N1)C3=NC=NC4=NC=N[C@@H]43)c5cccc(c5)OC(C)C	C38576537	P97996794
35,CC1=C2[C@@H](SCC(=O)N[C@H]2N(N1)C3=NC=NC4=NC=N[C@@H]43)c5ccccc5OC(C)C	C38598438	P97996971
36,CN1[C@@H](C/C(=C/2\C(=O)NC(=O)N(C2=O)c3cccc(c3)Cl)/N1)c4ccc(c(c4)OC)OC	C64471506	P98977632
37,Cc1ccc(c(c1)NC(=O)[C@@H]2CCCN2S(=O)(=O)c3cc4c(cc3C)NC(=O)[C@@H](O4)C)OC	C64921094	P99750321
38,CC(C)Oc1ccc(cc1OC)c2nc(c3c(n2)n(c(=O)n3C)c4ccc(cc4)F)C(=O)N	C64965991	P99823252
39,CSc1ccc(cc1)[C@H]2C3=C(COC3=O)N(C(=O)N2)CC(=O)NCc4ccc5c(c4)OCO5	C71326881	P110277866
40,Cc1ccc(cc1)N2C(=O)/C(=C\c3cc(ccc3N4CC[NH2+]CC4)[N+](=O)[O-])/C(=NC2=S)[O-]	C17085560	P112143935
41,C[C@H]1C[C@@H](CN(C1)c2[nH]c(=O)c3c(n2)NC(=O)[C@@H]([C@@H]3c4ccc(c(c4)OC)OC)C#N)C	C72444843	P112704463
42,Cc1c(c(n(n1)c2ccccc2)Cl)/C=N/NC(=O)CNC(=O)[C@H]3COc4ccccc4O3	C85387946	P133601011
43,CC1(C[C@H](CCO1)n2c3c(c(n2)O)[C@@H](SCC(=O)N3)c4cc(c(c(c4)OC)OC)OC)C	C96117593	P151401746
44,COc1ccc2cc(c(=O)[nH]c2c1)[C@H](CC(=O)OC)c3c(nc4ccc(cn4c3=O)Cl)O	C96115225	P151403787
45,CCN1C[C@]2(CC1=O)CN(CCN(C2)C(=O)NC(C)C)C(=O)NCc3ccc(cc3)OC	C96143511	P151455167
46,Cc1c(c(n(n1)c2ccccc2)Cl)/C=N\NC(=O)CNC(=O)[C@@H]3COc4ccccc4O3	C96924382	P153399174
47,CNC(=O)NC(=O)CSc1nnc(n1C)c2c3c(n(n2)c4ccccc4)-c5ccccc5CC3	C17173045	P155481318
48,c1cc(ccc1NC(=O)CCN2C(=O)[C@H]3CCCC[C@@H]3C2=O)S(=O)(=O)/N=C/4\CCCCCN4	C18084261	P155604264
49,CSCC[C@@H]1[C@@H]2[C@@H](C(=O)N(C2=O)c3cccc(c3)[N+](=O)[O-])[C@@]4(N1)c5ccccc5NC4=O	C26946648	P155878950
