,ligand	Cc1cc(cnc1C(=O)NC)Nc2nccc(n2)N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]5CC5(F)F	39	P10000016
23,Cc1ccc(cc1)S(=O)(=O)NNC(=O)Cn2c3c(c(=O)n(c2=O)C4CCCCC4)CCC3	C32603930	P48290936
24,Cn1c(nnc1SCCC(=O)NC(=O)Nc2ccc3c(c2)OCCO3)c4cccs4	C32871303	P48665017
25,C[C@H](C(=O)NC(=O)NC1CCCCC1)N2CCN(CC2)S(=O)(=O)c3ccc(cc3)OC	C34858765	P51739009
26,Cc1cccn2c1nc(c2C)C(=O)C3=C(C(=O)N([C@@H]3c4ccc(c(c4)OC)O)Cc5ccco5)O	C35484647	P52668509
27,C[C@@H](C(=O)Nc1cccc2c1cccc2)NC(=O)[C@@H]3[C@@H]4[C@@H]([C@@H]5[C@@H](O3)OC(O5)(C)C)OC(O4)(C)C	C36597005	P54393765
28,c1cc(ccc1C(=O)NNC(=O)CS[C@H]2CS(=O)(=O)c3c2ccc(c3)[N+](=O)[O-])Cl	C03127629	P56840597
29,CCOC(=O)c1c(c(c(s1)N/C=C\2/C(=O)NC(=O)N(C2=O)c3cccc(c3)C)C#N)C	C06547842	P57470227
30,CCOC(=O)[C@H]1C(=c2cc(ccc2=[NH+]1)OC)/N=N/[NH+]3C[C@H]4C[C@@H](C3)c5cccc(=O)n5C4	C38558104	P58364972
31,CCOC(=O)Cn\1c2ccc(cc2s/c1=N\C(=O)c3c(nc(s3)C)C)S(=O)(=O)N	C38931717	P58978846
32,C[C@@]1(C(=O)Nc2cc(ccc2O1)Cl)C(=O)NC[C@@H]3c4ccc(c(c4C(=O)O3)OC)OC	C41548712	P62967212
33,COc1ccc(cc1)[C@H]2CC3=C([C@H](n4c(ncn4)N3)c5cc(c(c(c5)OC)O)OC)C(=O)C2	C09488021	P75838096
34,CC1=Nc2nnnn2[C@H]([C@H]1C(=O)N)c3ccc(c(c3)OC)OCc4ccc(cc4)Br	C54219891	P81574505
35,Cc1cc(nc(n1)Nc2nc(cs2)C(=O)Nc3nc4ccc(cc4s3)S(=O)(=O)C)C	C56924624	P85476111
36,c1ccc(cc1)[C@H](C(=O)N/N=C/2\c3ccccc3N(C2=O)CCN4C(=O)c5ccccc5C4=O)O	C59158141	P89762201
37,CCN1c2ccc(cc2[C@]3(C1=O)C(=C(OC(=C3C(=O)OC)CC(=O)OC)N)C#N)Br	C59293398	P90103799
38,CSc1ccc(cc1)C2=NO[C@H](N2)CCCn3c(=O)c4cc5c(cc4[nH]c3=O)OCO5	C63570107	P97621639
39,CC1=C2[C@H](SCC(=O)N[C@@H]2N(N1)C3=NC=NC4=NC=N[C@@H]43)c5cccc(c5)OC(C)C	C38576539	P97996795
40,CC1=C2[C@H](SCC(=O)N[C@H]2N(N1)C3=NC=NC4=NC=N[C@@H]43)c5ccccc5OC(C)C	C38598439	P97996974
41,c1cc(cc(c1)Br)C2=NO[C@H](N2)CCCn3c(=O)c4cc5c(cc4[nH]c3=O)OCO5	C64438413	P98928765
42,CN1[C@H](C/C(=C/2\C(=O)NC(=O)N(C2=O)c3cccc(c3)Cl)/N1)c4ccc(c(c4)OC)OC	C64471508	P98977634
43,CCOc1ccccc1[C@H]2C/C(=C/3\C(=O)NC(=O)N(C3=O)c4ccccc4C)/NN2C(=O)C	C64789068	P99554506
44,CSc1ccc(cc1)[C@@H]2C3=C(COC3=O)N(C(=O)N2)CC(=O)Nc4ccc5c(c4)OCCO5	C71326886	P110277871
45,CC1(C[C@@H](CCO1)n2c3c(c(n2)O)[C@H](SCC(=O)N3)c4cc(c(c(c4)OC)OC)OC)C	C96117594	P151401747
46,CN(C)C(=O)N1C[C@H]2[C@@H](C1)C3(CCN(CC3)C(=O)NCCc4ccc(cc4)OC)NC2=O	C96143531	P151455201
47,Cc1nnc(n1N)SCC(=O)N2[C@H]([C@@H]3CCC/C(=C/c4ccco4)/C3=N2)c5ccco5	C96481909	P152379024
48,CCOc1cc(cc(c1O)[N+](=O)[O-])/C=C\2/C(=O)N(C(=S)S2)NC(=O)c3ccccc3	C33388785	P155745521
49,CC/C(=C/1\C(=O)NC(=O)N(C1=O)c2ccc(cc2)C)/Nc3c(n(n(c3=O)c4ccccc4)C)C	C13752103	P156125357
