,ligand	c1cc(c(c(c1)F)c2cc(c3c(n2)CNC3=O)Nc4ccc(cc4)C(=O)N5CCCC5)F	22	P10000004
23,COc1cc(ccc1O)[C@H]2[C@@H]3CC=C[C@H]3c4cc(ccc4N2)S(=O)(=O)N5CCCC5	C20692995	P30892350
24,Cc1c2c([nH]n1)NC(=O)CS[C@@H]2c3ccc(c(c3)OC)OCc4ccccc4Cl	C20898893	P31206322
25,COc1ccc(c(c1)[C@H]2CC3=C([C@H](Nc4ccccc4N3)c5ccncc5)C(=O)C2)OC	C21236217	P31693865
26,CCOc1cc(cc(c1O)I)/C=C(\C#N)/C(=O)Nc2ccco2	C32189164	P47447949
27,Cc1c2cc(ccc2oc1C(=O)/C=C/c3ccc(o3)c4ccc(cc4)S(=O)(=O)N)F	C34982490	P51923758
28,COC(=O)[C@]1([C@@H]([C@H](N2[C@@H]1c3ccccc3C=C2)C(=O)N)c4ccc(cc4)Br)C#N	C35369316	P52477261
29,c1ccc(cc1)/C=C(/C=N/n2c(n[nH]c2=S)c3c4c(n[nH]3)CCC4)\Br	C02604566	P54267882
30,c1ccc2c(c1)c(c[nH]2)CC(=O)OC[C@H]3CC(=O)N4C=C(C=C[C@H]4N3)Br	C39445143	P59786602
31,c1cc(oc1)c2n[nH]c(=S)n2/N=C/c3cc(cc(c3O)Br)Br	C17014588	P75343318
32,c1cc(ccc1/C=N/N=C/2\NC(=O)[C@@H](S2)CC(=O)Nc3ccc(cc3)Br)F	C39843378	P81720145
33,[H]/N=C\1/NC(=O)/C(=C/c2cc(ccc2OS(=O)(=O)c3ccc(cc3)C)Br)/S1	C15223125	P83553236
34,CC(C)C(=O)N1CCCc2c1ccc(c2)[C@@H](CN3CCN(CC3)c4ccc(cc4)O)O	C57811746	P86955455
35,[H]/N=C\1/N(C(=O)C[C@H](S1)C(=O)Nc2cc(ccc2Cl)Cl)/N=C/c3cccs3	C58836850	P89055469
36,COc1cc(cc(c1O)Cl)/C=C/2\C(=O)NN(C2=O)c3ccc(cc3)Br	C33322104	P89698389
37,Cc1cc(=O)[nH]c(n1)SCC(=O)Nc2c(cc(cn2)Br)Br	C59941665	P91430919
38,COc1ccccc1/N=C/2\NC(=O)[C@@H](S2)CC(=O)Nc3ccc(cc3)Br	C13688340	P94860646
39,CCCCN1C(=O)[C@@H]2[C@@H](N[C@@]3([C@@H]2C1=O)c4cc(ccc4NC3=O)F)Cc5ccccc5	C20566642	P110911908
40,CCCCN1C(=O)[C@H]2[C@@H](C1=O)[C@]3(c4cc(ccc4NC3=O)Br)N[C@@H]2C(C)C	C16022264	P110938551
41,CC(=O)Nc1ccc(cc1NC(=O)/C=C/c2ccc(o2)I)OC	C72023231	P111793863
42,C/C(=N\N=C(/N)\S[C@H]1CC(=O)N(C1=O)c2ccc(c(c2)Cl)Cl)/c3cccs3	C18143805	P112018524
43,[H]/N=C\1/N(C(=O)C[C@@H](S1)C(=O)Nc2cc(ccc2Cl)Cl)/N=C\c3cccs3	C83298048	P130218265
44,[H]/N=C\1/NC(=O)/C(=C\c2cc(ccc2OS(=O)(=O)c3ccc(cc3)C)Br)/S1	C06352827	P130277148
45,c1ccc(c(c1)c2nc[nH]n2)OCC(=O)Nc3ccc(cc3)I	C84514379	P132251808
46,c1ccc(cc1)/C=N/N=C\2/NC(=O)[C@@H](S2)CC(=O)Nc3ccc(cc3Cl)Cl	C15767458	P134613453
47,Cc1cc(c(s1)NC(=O)/C(=C\c2cc(ccc2O)Br)/C#N)C(=O)OC	C34982990	P152220349
48,c1ccc2c(c1)[C@](C(=O)N2)(Cc3ccccn3)c4ccc5c(c4)/C(=C/c6ccccn6)/C(=O)N5	C96602460	P152679055
49,c1ccc(cc1)NNC(=O)[C@@H]2CCCN(C2)S(=O)(=O)c3ccc(s3)Br	C97039499	P153606295
