,ligand	c1cc2cc(c1)-c3ccnc(n3)Nc4ccc(c(c4)COC/C=C/COC2)OCC[NH+]5CCCC5	11	P10000021
18,CCC(C)(C)C1CCC2(CC1)C(=O)N(C(=O)N2)C[NH+](C)[C@H](C)c3nc4ccccc4s3	C24279744	P35999150
19,Cc1ccc2c(=O)cc(oc2c1C)C(=O)NC[C@@H](c3ccc(cc3)C(C)C)[NH+]4CCOCC4	C28292284	P41660633
20,Cc1c2c(n(n1)c3ccccc3)[NH+]=C4C(=O)Nc5ccccc5N4[C@H]2c6ccc(c(c6)Cl)Cl	C03289944	P49434026
21,Cc1c(sc(c1[C@H](c2ccc(cc2)N(C)C)[NH+]3CCOCC3)NC(=O)c4ccco4)C	C34967061	P51907015
22,Cc1c(n(c([nH+]1)SCc2[nH]c(=O)c3c(csc3n2)c4ccco4)C5CCCCC5)C	C23328662	P53095817
23,CCN1CC[NH+](CC1)Cc2c(ccc3c2O/C(=C/c4cc5cc(ccc5o4)Br)/C3=O)O	C37858120	P56302971
24,c1cc(cnc1)[C@H]2C3=C(c4cc(ccc4O[C@@H]3c5ccc(cc5Cl)Cl)Cl)N=C6N2NC=[NH+]6	C09293459	P57671469
25,COc1ccc(cc1[C@@H]2C3=C(c4ccccc4O2)N=C5[NH+]=CNN5[C@H]3c6ccc(cc6)F)Br	C02249014	P57681649
26,COc1ccccc1[C@@H]2C3=C(c4cc(ccc4O2)Cl)N=C5[NH+]=CNN5[C@H]3c6cccs6	C02917818	P57688130
27,CC1=C2[C@@H](C3=C(CC(CC3=O)(C)C)[NH+]=C2N(N1)c4ccccc4)c5ccc(c(c5)OC)OC	C15906127	P57709699
28,COc1ccc(cc1OCc2ccccc2)[C@@H]3C=C(N=C4N3NC=[NH+]4)c5ccc(cc5)Cl	C03265713	P57758419
29,Cc1ccc(cc1)S(=O)(=O)[N-]c2ccc(cc2[C@H]3C(=O)[NH+]=c4ccccc4=[NH+]3)Br	C39404692	P59720399
30,c1cc(sc1)[C@@H]2c3ccsc3CC[NH+]2CC(=O)/[NH+]=C/4\C=C5C(=NC(=N5)[O-])C=C4Br	C39726532	P60237231
31,COc1cc2c(cc1OC)C[NH+](CC2)CC(=O)/N=c\3/[nH]c(cs3)c4ccc(c(c4)F)F	C25638396	P74019603
32,Cc1c(sc2c1c(=O)[nH]c(n2)[C@@H](C)Sc3[nH+]c4cc(ccc4n3CCOC)Cl)C	C24048625	P89246932
33,CC(=O)O[C@H]1[C@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(C[C@@H]([C@H](C4)O)N5CCOCC5)C)C)[NH+]6CCCC6	C59769910	P91108805
34,c1ccc(c(c1)C2=NN3C(=[NH2+])/C(=C\c4ccc(o4)c5cccc(c5)Cl)/C(=O)N=C3S2)Cl	C26641638	P96464551
35,Cc1ccc(cc1)/C=C\2/C(=O)c3ccc(c(c3O2)C[NH+]4C[C@H]5C[C@@H](C4)c6cccc(=O)n6C5)O	C41584752	P96673219
36,Cc1cc(c(c2c1C(=O)/C(=C/c3ccccc3Br)/O2)CN4CCN(CC4)c5cccc[nH+]5)O	C41585844	P96674303
37,CCOC(=O)[C@@H]1CCC[NH+](C1)Cc2c(cc(c3c2O/C(=C\c4ccc(cc4)F)/C3=O)C)O	C41586331	P96674785
38,COc1ccccc1c2coc3c(c2=O)ccc(c3C[NH+]4CCN(CC4)c5ccc(cc5)F)O	C41585655	P96680192
39,c1cc2n(c(=O)c1)C[C@@H]3C[C@H]2C[NH+](C3)Cc4c(ccc5c4oc(=O)c(c5)c6ccc(cc6)Cl)O	C41584797	P96684561
40,Cc1ccc(c(c1)Br)N[C@H]2/C(=N/S(=O)(=O)c3ccccc3)/N=c4ccccc4=[NH+]2	C39978795	P97241511
41,Cc1cc2c(c(c1)OCC(=O)NCCC3=c4cc(ccc4=[NH+]C3)F)c5c(c(=O)o2)CCCC5	C63486117	P97483721
42,Cc1ccc(c(c1)NC(=O)c2ccccc2Cl)OCc3cc(=O)n4c(csc4[nH+]3)C	C64976786	P99841776
43,Cc1cccc(n1)NC(=O)c\2cc3cccc(c3o/c2=[NH+]\c4ccc(cc4Cl)F)OC	C67295715	P103372988
44,Cc1c2c(n(n1)c3ccccc3)[NH+]=C4C(=O)Nc5ccccc5N4[C@H]2c6ccc(cc6Cl)Cl	C03436523	P111331759
45,CC(C)(C)[C@H](c1ccc(cc1)F)[NH2+]Cn2c(=S)n(c(n2)[C@@H]3COc4ccccc4O3)C	C71939062	P111635069
46,CC(C)[C@@H]1C(=O)N(C2([NH2+]1)CCN(CC2)S(=O)(=O)c3ccc(cc3)Cl)Cc4ccc(cc4)F	C36014261	P152319314
47,CCCN1C(=O)[C@H]([NH2+]C12CCN(CC2)S(=O)(=O)c3cccc(c3Cl)Cl)C(C)C	C36024528	P152327509
48,C1CCC(CC1)CNC(=O)[C@H]2CCc3c(sc([nH+]3)N4CCN(CC4)C(=O)C5CCC5)C2	C65273739	P153671895
49,CCOc1cccc2c1o/c(=[NH+]\c3cccc(c3)Br)/c(c2)C(=O)Nc4nccs4	C02951444	P155384137
