,ligand	Cc1cc(cnc1C(=O)NC)Nc2nccc(n2)N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]5CC5(F)F	36	P10000029
33,c1cc2c(cc1NC(=O)C(=O)N/N=C/c3cc4c(cc3Br)OCO4)OCCO2	C59516224	P90604211
34,CN1CCC2=c3ccccc3=[NH+][C@H]2[C@@H]1c4c([nH]c(=O)n(c4=O)CCc5ccc(c(c5)OC)OC)[O-]	C63375186	P97326409
35,c1cc(cc(c1)C(F)(F)F)C2=NO[C@H](N2)CCn3c(=O)c4cc5c(cc4[nH]c3=O)OCO5	C63570093	P97621625
36,c1cc(ccc1C2=NO[C@H](N2)CCCn3c(=O)c4cc5c(cc4[nH]c3=O)OCO5)C(F)(F)F	C63570105	P97621637
37,CC1=C2[C@H](SCC(=O)N[C@H]2N(N1)C3=NC=NC4=NC=N[C@@H]43)c5ccc(cc5)OCC(C)C	C38586878	P97996000
38,CCC(=O)N1[C@H](C/C(=C/2\C(=O)NC(=O)N(C2=O)c3ccc(cc3)Cl)/N1)c4ccc(cc4)OC	C64471486	P98977612
39,CSc1ccc(cc1)[C@@H]2C3=C(COC3=O)N(C(=O)N2)CC(=O)NCc4ccc5c(c4)OCO5	C71326880	P110277865
40,Cc1c2c(n(n1)c3c4c(nc[nH]4)ncn3)NC(=O)CS[C@H]2c5ccccc5OCC(C)C	C31810147	P112605506
41,C[C@@H]1C[C@@H](CN(C1)c2[nH]c(=O)c3c(n2)NC(=O)[C@@H]([C@@H]3c4ccc(c(c4)OC)OC)C#N)C	C72444842	P112704462
42,c1cc2c(cc1Cn3c(c4ccc(cc4nc3=S)/C(=N/CC[NH+]5CCOCC5)/O)[O-])OCO2	C20645549	P128221976
43,C[C@]1(C(=O)N(C(=O)N1)CC(=O)Nc2ccccc2SCC#N)c3ccc4c(c3)OCCO4	C09127539	P132220038
44,CC1(C[C@@H](CCO1)n2c3c(c(n2)O)[C@@H](SCC(=O)N3)c4cc(c(c(c4)OC)OC)OC)C	C96117592	P151401745
45,CCN1C[C@@]2(CC1=O)CN(CCN(C2)C(=O)NC(C)C)C(=O)NCc3ccc(cc3)OC	C96143510	P151455165
46,Cc1ccc(cc1)C2=C(C(=NS2(=O)=O)N3CCC(CC3)NC(=O)N[C@H](C)C(=O)OC)C	C65271798	P152119615
47,Cc1cc(n(n1)c2nnc(n2N)S[C@H](C)C(=O)N(C)Cc3nc4ccccc4s3)C	C97060052	P153641553
48,Cc1ccc(cc1Cl)n2cnnc2SCC(=O)NNC(=O)[C@@H]3COc4ccccc4O3	C25529495	P155478088
49,C[NH+](C)c1ccc(cc1)Cn2c(ccn2)NC(=O)Cn3cnc4c5ccccc5oc4c3=O	C98080892	P155861942
