,ligand	Cc1cc(cnc1C(=O)NC)Nc2nccc(n2)N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]5CC5(F)F	32	P10000031
37,CCC(=O)N1[C@@H](C/C(=C/2\C(=O)NC(=O)N(C2=O)Cc3ccccc3)/N1)c4ccccc4OCC	C64789334	P99554978
38,CSc1ccc(cc1)[C@H]2C3=C(COC3=O)N(C(=O)N2)CC(=O)Nc4ccc5c(c4)OCO5	C71326877	P110277862
39,CC(=O)Nc1ccc(cc1NS(=O)(=O)c2cc(ccc2Br)[N+](=O)[O-])OC	C78902688	P123187881
40,c1ccc2c(c1)c(cn2CC(=O)NCc3ccco3)/C=C\4/C(=O)NC(=O)N(C4=O)C5CCCCC5	C33932899	P130296649
41,CN(Cc1[nH]c(=O)c2c(n1)ccs2)C(=O)c3c(c4ccccc4o3)CSc5[nH]ncn5	C22184939	P151085223
42,CCOc1ccc(cc1)[C@H]2C/C(=C\3/C(=O)NC(=O)N(C3=O)CCC4=CCCCC4)/NN2C(=O)C	C13591515	P151681705
43,Cc1c2c([nH]c1C(=O)NCCN3C(=O)/C(=C\c4ccc5c(c4)OCO5)/SC3=O)CCCC2=O	C96817417	P153106722
44,Cc1cc(n(n1)c2nnc(n2N)S[C@@H](C)C(=O)N(C)Cc3nc4ccccc4s3)C	C97060048	P153641549
45,Cc1cc(c(n1c2cccc3c2cccc3)C)/C=N\NC4=N[C@H]5[C@@H](N4)C(=O)N(C(=O)N5C)C	C33916493	P155821863
46,Cc1cc(ccc1N2C(=O)[C@H]3[C@@H](N[C@@]4([C@@H]3C2=O)c5ccccc5NC4=O)CCSC)[N+](=O)[O-]	C16010066	P155889745
47,Cc1c2c(n(n1)c3c4c([nH]cn4)ncn3)NC(=O)CS[C@H]2c5ccc(cc5)OCC(C)C	C31807194	P155896364
48,Cc1ccc(cc1c2nnc-3n2NC(=C)c4c3cccc4)S(=O)(=O)N5CCN(CC5)CCO	C20292394	P156195554
49,Cc1nc(on1)c2c3c(sc2NS(=O)(=O)c4ccc5c(c4)CCC(=O)N5)COCC3	C98348547	P156424870
