,ligand	CCNC(=O)c1ccc(cc1C)Nc2ncc(c(n2)N3C[C@H]4CC[C@@H](C3)N4C(=O)C(F)(F)F)F	1	P10000011
19,CC[C@@]1(C(=O)N(C(=O)N1)CC(=O)N(C)CC(=O)Nc2ccccc2Cl)c3ccc(cc3)Cl	C19313823	P28544572
20,C[C@@H](c1ccc2c(c1)CCCC2)NC(=O)CN3C(=O)[C@@](NC3=O)(C)c4ccc(c(c4)OC)OC	C20056770	P29835232
21,CCOC(=O)C1=c2n(/c(=C/c3ccccc3F)/c(=O)o2)-c4c(nc(o4)N)[C@H]1c5ccccc5F	C20609537	P30747977
22,COc1ccc(cc1n2c3c(c(=O)[nH]c(n3)SCC(=O)NCc4ccco4)sc2=S)Cl	C03034177	P30810040
23,CC(C)[C@H](c1ccc2c(c1)OCCO2)NC(=O)CN3C(=O)[C@@](NC3=O)(C)c4ccc(c(c4)F)F	C21734357	P32364520
24,Cn1ccnc1[C@H](c2cc(cc(c2)OC)OC)NC(=O)c3cc(n[nH]3)c4ccc(cc4)Br	C22470647	P33374698
25,CC[C@@]1(C(=O)N(C(=O)N1)NC(=O)CN2CCN(CC2)Cc3ccc(s3)c4ccc(cc4)Cl)C	C22932850	P34446294
26,COC(=O)c1ccccc1NC(=O)CSC2=C([C@@H](C3=C(N2)CCCC3=O)c4ccco4)C#N	C02694782	P34481643
27,c1cc(ccc1c2ccc(s2)C(=O)NNC(=O)[C@@H]3CC(=O)N(C3)c4ccc5c(c4)OCO5)F	C29059933	P42707949
28,C[C@@H](C(=O)Nc1ccc(cc1)Cl)NC(=O)[C@@H]2CC(=O)N(C2)c3cc(c(cc3OC)OC)Cl	C32925007	P48738012
29,CC[C@@H](C)NC(=O)[C@@H]1CCCN(C1)C(=O)Nc2ccc(s2)S(=O)(=O)N3CCCCCC3	C32944669	P48768121
30,c1ccc2c(c1)OC[C@H](O2)C(=O)N(c3cccc(c3)O)[C@@H](c4cccs4)C(=O)NCc5ccco5	C01351772	P56419949
31,CCONC(=O)c1ccsc1NC(=O)c2ccc(cc2)S(=O)(=O)N3C[C@H](C[C@@H](C3)C)C	C39700536	P60181358
32,CC(C)c1ccc(cc1)[C@@H]2Nc3ccccc3C(=O)N2NC(=O)c4cc(c(c(c4)OC)OC)OC	C39919964	P60567034
33,CCCOc1cccc(c1)[C@@H]2c3c(n[nH]c3C(=O)N2[C@@H]4CCS(=O)(=O)C4)c5cc(ccc5O)C	C38701954	P61566419
34,CCOc1ccc(cc1)[C@H]2c3c(n[nH]c3C(=O)N2[C@@H]4CCS(=O)(=O)C4)c5cc(ccc5O)Cl	C38702018	P61566675
35,COc1cc(cc(c1OC)OC)c2ccc3c(n2)[C@@H](C4=C(C[C@H](CC4=O)c5ccccc5)NC3=O)O	C40568897	P61599798
36,CC(C)C[C@H]1[C@@H]2[C@@H](C(=O)N(C2=O)CCc3ccc(c(c3)OC)OC)[C@]4(N1)c5ccccc5NC4=O	C09430234	P75875635
37,Cc1cc(c(c(c1NS(=O)(=O)C)C)S(=O)(=O)Nc2cc(cc(c2)F)N3CCOCC3)C	C58438845	P88281827
38,CCN1C(=O)[C@H](N(C1=S)NC(=O)c2ccc(cc2)Cl)CC(=O)Nc3ccccc3OC	C33551778	P89230678
39,C/C(=N\NC(=O)c1ccc(cc1)N(C)S(=O)(=O)c2ccccc2)/c3ccc(cc3)NC(=O)C	C20232916	P90439384
40,Cc1ccccc1Cn2cc(cn2)/N=C(/C3=CNN4C3=[NH+][C@@H](C[C@@H]4C(F)(F)F)c5ccco5)\[O-]	C12848414	P90513257
41,[H]/N=C/1\C2=C(N=NC2=N[C@@H](N1c3ccc(c(c3)Cl)C)SCC(=O)Nc4ccccc4OC)C	C63731391	P97857596
42,C[C@@H](C(=O)Nc1ccnn1Cc2ccc(cc2)C(C)(C)C)NC3=NS(=O)(=O)c4c3cccc4	C72004003	P111763204
43,Cc1c(c(=O)n(n1C)c2ccccc2)NS(=O)(=O)c3ccc(cc3)C(=O)N[C@@H]4CCC[C@@H]([C@@H]4C)C	C72115494	P111937569
44,CN(C)c1ccc(cc1)[C@H]2CC(=NN2C(=O)CSc3nnc(s3)N)c4cccc(c4)OC	C72413228	P112641992
45,Cc1ccc(c(c1)Br)OCC(=O)Nc2ccc(cc2)S(=O)(=O)Nc3cc(on3)C	C01167466	P126183532
46,CC(C)c1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)CNC(=O)NCc3ccc(cc3)F	C12797987	P132427646
47,C[C@@]1(C(=O)N(C(=O)N1)CC(=O)NCc2ccc(cc2)C(=O)OC)c3ccccc3Br	C23845814	P140543063
48,c1ccc2c(c1)/C(=N/NC(=O)CNC(=O)c3ccccn3)/C(=O)N2Cc4ccc(c(c4)Cl)Cl	C09510816	P155551813
49,c1cc(cc(c1)S(=O)(=O)/N=C/2\CCCN2)NS(=O)(=O)c3ccc(cc3)OC(F)(F)F	C23243351	P155673136
